Sales_ID,Order_ID,Product_ID,Sales,Quantity,Discount,Profit,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Country,City,State,Postal_code,Region,Customer_Name,Segment,Category,Sub_category,Product_Name,Order_Year,Order_Month_No,Order_Month,Quarter,Day_Name,Week_Number,Processing_Days,Profit_Margin,Average_Selling_Price
11,CA-2014-115812,FUR-TA-10001539,1706.18,9,0.2,85.3092,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,2014,6,June,2,Monday,24,5,5.000011722092628,189.57555555555555
12,CA-2014-115812,TEC-PH-10002033,911.42,4,0.2,68.3568,BH-11710,2014-06-09,2014-06-14,Standard Class,United States,Los Angeles,California,90032,West,Brosina Hoffman,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,2014,6,June,2,Monday,24,5,7.5000329156700545,227.855
13,CA-2017-114412,OFF-PA-10002365,15.55,3,0.2,5.4432,AA-10480,2017-04-15,2017-04-20,Standard Class,United States,Concord,North Carolina,28027,South,Andrew Allen,Consumer,Office Supplies,Paper,Xerox 1967,2017,4,April,2,Saturday,15,5,35.004501607717046,5.183333333333334
14,CA-2016-161389,OFF-BI-10003656,407.98,3,0.2,132.5922,IM-15070,2016-12-05,2016-12-10,Standard Class,United States,Seattle,Washington,98103,West,Irene Maddox,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,2016,12,December,4,Monday,49,5,32.49968135692926,135.99333333333334
15,US-2015-118983,OFF-AP-10002311,68.81,5,0.8,-123.858,HP-14815,2015-11-22,2015-11-26,Standard Class,United States,Fort Worth,Texas,76106,Central,Harold Pawlan,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",2015,11,November,4,Sunday,47,4,-180.0,13.762
16,US-2015-118983,OFF-BI-10000756,2.54,3,0.8,-3.816,HP-14815,2015-11-22,2015-11-26,Standard Class,United States,Fort Worth,Texas,76106,Central,Harold Pawlan,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2015,11,November,4,Sunday,47,4,-150.23622047244095,0.8466666666666667
17,CA-2014-105893,OFF-ST-10004186,665.88,6,0.0,13.3176,PK-19075,2014-11-11,2014-11-18,Standard Class,United States,Madison,Wisconsin,53711,Central,Pete Kriz,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2014,11,November,4,Tuesday,46,7,2.0,110.98
18,CA-2014-167164,OFF-ST-10000107,55.5,2,0.0,9.99,AG-10270,2014-05-13,2014-05-15,Second Class,United States,West Jordan,Utah,84084,West,Alejandro Grove,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,2014,5,May,2,Tuesday,20,2,18.0,27.75
19,CA-2014-143336,OFF-AR-10003056,8.56,2,0.0,2.4824,ZD-21925,2014-08-27,2014-09-01,Second Class,United States,San Francisco,California,94109,West,Zuschuss Donatelli,Consumer,Office Supplies,Art,Newell 341,2014,8,August,3,Wednesday,35,5,28.999999999999996,4.28
20,CA-2014-143336,TEC-PH-10001949,213.48,3,0.2,16.011,ZD-21925,2014-08-27,2014-09-01,Second Class,United States,San Francisco,California,94109,West,Zuschuss Donatelli,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,2014,8,August,3,Wednesday,35,5,7.5,71.16
21,CA-2014-143336,OFF-BI-10002215,22.72,4,0.2,7.384,ZD-21925,2014-08-27,2014-09-01,Second Class,United States,San Francisco,California,94109,West,Zuschuss Donatelli,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",2014,8,August,3,Wednesday,35,5,32.5,5.68
22,CA-2016-137330,OFF-AR-10000246,19.46,7,0.0,5.0596,KB-16585,2016-12-09,2016-12-13,Standard Class,United States,Fremont,Nebraska,68025,Central,Ken Black,Corporate,Office Supplies,Art,Newell 318,2016,12,December,4,Friday,49,4,25.999999999999996,2.7800000000000002
23,CA-2016-137330,OFF-AP-10001492,60.34,7,0.0,15.6884,KB-16585,2016-12-09,2016-12-13,Standard Class,United States,Fremont,Nebraska,68025,Central,Ken Black,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",2016,12,December,4,Friday,49,4,25.999999999999996,8.620000000000001
24,US-2017-156909,FUR-CH-10002774,71.37,2,0.3,-1.0196,SF-20065,2017-07-16,2017-07-18,Second Class,United States,Philadelphia,Pennsylvania,19140,East,Sandra Flanagan,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2017,7,July,3,Sunday,28,2,-1.4286114613983465,35.685
25,CA-2015-106320,FUR-TA-10000577,1044.63,3,0.0,240.2649,EB-13870,2015-09-25,2015-09-30,Standard Class,United States,Orem,Utah,84057,West,Emily Burns,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2015,9,September,3,Friday,39,5,23.0,348.21000000000004
26,CA-2016-121755,OFF-BI-10001634,11.65,2,0.2,4.2224,EH-13945,2016-01-16,2016-01-20,Second Class,United States,Los Angeles,California,90049,West,Eric Hoffmann,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,2016,1,January,1,Saturday,2,4,36.243776824034335,5.825
27,CA-2016-121755,TEC-AC-10003027,90.57,3,0.0,11.7741,EH-13945,2016-01-16,2016-01-20,Second Class,United States,Los Angeles,California,90049,West,Eric Hoffmann,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,2016,1,January,1,Saturday,2,4,13.0,30.189999999999998
28,US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2015,9,September,3,Thursday,38,4,-54.0,440.48999999999995
29,US-2015-150630,OFF-BI-10000474,9.62,2,0.7,-7.0532,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,2015,9,September,3,Thursday,38,4,-73.31808731808734,4.81
30,US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.525,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2015,9,September,3,Thursday,38,4,12.5,41.4
31,US-2015-150630,OFF-EN-10001509,3.26,2,0.2,1.1016,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,2015,9,September,3,Thursday,38,4,33.79141104294479,1.63
32,US-2015-150630,OFF-AR-10004042,86.3,6,0.2,9.7092,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",2015,9,September,3,Thursday,38,4,11.250521436848203,14.383333333333333
33,US-2015-150630,OFF-BI-10001525,6.86,6,0.7,-5.715,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",2015,9,September,3,Thursday,38,4,-83.30903790087463,1.1433333333333333
34,US-2015-150630,OFF-AR-10001683,15.76,2,0.2,3.546,TB-21520,2015-09-17,2015-09-21,Standard Class,United States,Philadelphia,Pennsylvania,19140,East,Tracy Blumstein,Consumer,Office Supplies,Art,Lumber Crayons,2015,9,September,3,Thursday,38,4,22.499999999999996,7.88
35,CA-2017-107727,OFF-PA-10000249,29.47,3,0.2,9.9468,MA-17560,2017-10-19,2017-10-23,Second Class,United States,Houston,Texas,77095,Central,Matt Abelman,Home Office,Office Supplies,Paper,Easy-staple paper,2017,10,October,4,Thursday,42,4,33.752290464879536,9.823333333333332
36,CA-2016-117590,TEC-PH-10004977,1097.54,7,0.2,123.4737,GH-14485,2016-12-08,2016-12-10,First Class,United States,Richardson,Texas,75080,Central,Gene Hale,Corporate,Technology,Phones,GE 30524EE4,2016,12,December,4,Thursday,49,2,11.25004100078357,156.79142857142855
37,CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.963,GH-14485,2016-12-08,2016-12-10,First Class,United States,Richardson,Texas,75080,Central,Gene Hale,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2016,12,December,4,Thursday,49,2,-77.5,38.184
38,CA-2015-117415,OFF-EN-10002986,113.33,9,0.2,35.415,SN-20710,2015-12-27,2015-12-31,Standard Class,United States,Houston,Texas,77041,Central,Steve Nguyen,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",2015,12,December,4,Sunday,52,4,31.249448513191563,12.592222222222222
39,CA-2015-117415,FUR-BO-10002545,532.4,3,0.32,-46.9764,SN-20710,2015-12-27,2015-12-31,Standard Class,United States,Houston,Texas,77041,Central,Steve Nguyen,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",2015,12,December,4,Sunday,52,4,-8.82351615326822,177.46666666666667
40,CA-2015-117415,FUR-CH-10004218,212.06,3,0.3,-15.147,SN-20710,2015-12-27,2015-12-31,Standard Class,United States,Houston,Texas,77041,Central,Steve Nguyen,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",2015,12,December,4,Sunday,52,4,-7.142789776478355,70.68666666666667
41,CA-2015-117415,TEC-PH-10000486,371.17,4,0.2,41.7564,SN-20710,2015-12-27,2015-12-31,Standard Class,United States,Houston,Texas,77041,Central,Steve Nguyen,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,2015,12,December,4,Sunday,52,4,11.249939380876686,92.7925
42,CA-2017-120999,TEC-PH-10004093,147.17,4,0.2,16.5564,LC-16930,2017-09-10,2017-09-15,Standard Class,United States,Naperville,Illinois,60540,Central,Linda Cazamias,Corporate,Technology,Phones,Panasonic Kx-TS550,2017,9,September,3,Sunday,36,5,11.249847115580621,36.7925
43,CA-2016-101343,OFF-ST-10003479,77.88,2,0.0,3.894,RA-19885,2016-07-17,2016-07-22,Standard Class,United States,Los Angeles,California,90049,West,Ruben Ausman,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",2016,7,July,3,Sunday,28,5,5.0,38.94
44,CA-2017-139619,OFF-ST-10003282,95.62,2,0.2,9.5616,ES-14080,2017-09-19,2017-09-23,Standard Class,United States,Melbourne,Florida,32935,South,Erin Smith,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2017,9,September,3,Tuesday,38,4,9.999581677473332,47.81
45,CA-2016-118255,TEC-AC-10000171,45.98,2,0.0,19.7714,ON-18715,2016-03-11,2016-03-13,First Class,United States,Eagan,Minnesota,55122,Central,Odella Nelson,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2016,3,March,1,Friday,10,2,43.00000000000001,22.99
46,CA-2016-118255,OFF-BI-10003291,17.46,2,0.0,8.2062,ON-18715,2016-03-11,2016-03-13,First Class,United States,Eagan,Minnesota,55122,Central,Odella Nelson,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,2016,3,March,1,Friday,10,2,47.0,8.73
47,CA-2014-146703,OFF-ST-10001713,211.96,4,0.0,8.4784,PO-18865,2014-10-20,2014-10-25,Second Class,United States,Westland,Michigan,48185,Central,Patrick O'Donnell,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",2014,10,October,4,Monday,43,5,4.0,52.99
48,CA-2016-169194,TEC-AC-10002167,45.0,3,0.0,4.95,LH-16900,2016-06-20,2016-06-25,Standard Class,United States,Dover,Delaware,19901,East,Lena Hernandez,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2016,6,June,2,Monday,25,5,11.0,15.0
49,CA-2016-169194,TEC-PH-10003988,21.8,2,0.0,6.104,LH-16900,2016-06-20,2016-06-25,Standard Class,United States,Dover,Delaware,19901,East,Lena Hernandez,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2016,6,June,2,Monday,25,5,27.999999999999996,10.9
50,CA-2015-115742,OFF-BI-10004410,38.22,6,0.0,17.9634,DP-13000,2015-04-18,2015-04-22,Standard Class,United States,New Albany,Indiana,47150,Central,Darren Powers,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",2015,4,April,2,Saturday,16,4,47.0,6.37
51,CA-2015-115742,OFF-LA-10002762,75.18,6,0.0,35.3346,DP-13000,2015-04-18,2015-04-22,Standard Class,United States,New Albany,Indiana,47150,Central,Darren Powers,Consumer,Office Supplies,Labels,Avery 485,2015,4,April,2,Saturday,16,4,47.0,12.530000000000001
52,CA-2015-115742,FUR-FU-10001706,6.16,2,0.0,2.9568,DP-13000,2015-04-18,2015-04-22,Standard Class,United States,New Albany,Indiana,47150,Central,Darren Powers,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,2015,4,April,2,Saturday,16,4,48.0,3.08
53,CA-2015-115742,FUR-CH-10003061,89.99,1,0.0,17.0981,DP-13000,2015-04-18,2015-04-22,Standard Class,United States,New Albany,Indiana,47150,Central,Darren Powers,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",2015,4,April,2,Saturday,16,4,19.0,89.99
54,CA-2016-105816,OFF-FA-10000304,15.26,7,0.0,6.2566,JM-15265,2016-12-11,2016-12-17,Standard Class,United States,New York City,New York,10024,East,Janet Molinari,Corporate,Office Supplies,Fasteners,Advantus Push Pins,2016,12,December,4,Sunday,49,6,41.0,2.18
55,CA-2016-105816,TEC-PH-10002447,1029.95,5,0.0,298.6855,JM-15265,2016-12-11,2016-12-17,Standard Class,United States,New York City,New York,10024,East,Janet Molinari,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,2016,12,December,4,Sunday,49,6,28.999999999999996,205.99
56,CA-2016-111682,OFF-ST-10000604,208.56,6,0.0,52.14,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,2016,6,June,2,Friday,24,1,25.0,34.76
57,CA-2016-111682,OFF-PA-10001569,32.4,5,0.0,15.552,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Office Supplies,Paper,Xerox 232,2016,6,June,2,Friday,24,1,48.0,6.4799999999999995
58,CA-2016-111682,FUR-CH-10003968,319.41,5,0.1,7.098,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,2016,6,June,2,Friday,24,1,2.222222222222222,63.882000000000005
59,CA-2016-111682,OFF-PA-10000587,14.56,2,0.0,6.9888,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",2016,6,June,2,Friday,24,1,48.0,7.28
60,CA-2016-111682,TEC-AC-10002167,30.0,2,0.0,3.3,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,2016,6,June,2,Friday,24,1,11.0,15.0
61,CA-2016-111682,OFF-BI-10001460,48.48,4,0.2,16.362,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Office Supplies,Binders,Plastic Binding Combs,2016,6,June,2,Friday,24,1,33.75,12.12
62,CA-2016-111682,OFF-AR-10001868,1.68,1,0.0,0.84,TB-21055,2016-06-17,2016-06-18,First Class,United States,Troy,New York,12180,East,Ted Butterfield,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,2016,6,June,2,Friday,24,1,50.0,1.68
63,CA-2015-135545,TEC-AC-10004633,13.98,2,0.0,6.1512,KM-16720,2015-11-24,2015-11-30,Standard Class,United States,Los Angeles,California,90004,West,Kunst Miller,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2015,11,November,4,Tuesday,48,6,44.0,6.99
64,CA-2015-135545,OFF-BI-10001078,25.82,6,0.2,9.3612,KM-16720,2015-11-24,2015-11-30,Standard Class,United States,Los Angeles,California,90004,West,Kunst Miller,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2015,11,November,4,Tuesday,48,6,36.2556158017041,4.303333333333334
65,CA-2015-135545,OFF-PA-10003892,146.73,3,0.0,68.9631,KM-16720,2015-11-24,2015-11-30,Standard Class,United States,Los Angeles,California,90004,West,Kunst Miller,Consumer,Office Supplies,Paper,Xerox 1943,2015,11,November,4,Tuesday,48,6,47.0,48.91
66,CA-2015-135545,FUR-FU-10000397,79.76,4,0.0,22.3328,KM-16720,2015-11-24,2015-11-30,Standard Class,United States,Los Angeles,California,90004,West,Kunst Miller,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,2015,11,November,4,Tuesday,48,6,27.999999999999996,19.94
67,US-2015-164175,FUR-CH-10001146,213.12,5,0.3,-15.2225,PS-18970,2015-04-30,2015-05-05,Standard Class,United States,Chicago,Illinois,60610,Central,Paul Stevenson,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",2015,4,April,2,Thursday,18,5,-7.142689564564564,42.624
68,CA-2014-106376,OFF-AR-10002671,1113.02,8,0.2,111.3024,BS-11590,2014-12-05,2014-12-10,Standard Class,United States,Gilbert,Arizona,85234,West,Brendan Sweed,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",2014,12,December,4,Friday,49,5,10.000035938258073,139.1275
69,CA-2014-106376,TEC-PH-10002726,167.97,4,0.2,62.988,BS-11590,2014-12-05,2014-12-10,Standard Class,United States,Gilbert,Arizona,85234,West,Brendan Sweed,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,2014,12,December,4,Friday,49,5,37.49955349169495,41.9925
70,CA-2016-119823,OFF-PA-10000482,75.88,2,0.0,35.6636,KD-16270,2016-06-04,2016-06-06,First Class,United States,Springfield,Virginia,22153,South,Karen Daniels,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2016,6,June,2,Saturday,22,2,47.00000000000001,37.94
71,CA-2016-106075,OFF-BI-10004654,4.62,1,0.2,1.731,HM-14980,2016-09-18,2016-09-23,Standard Class,United States,New York City,New York,10009,East,Henry MacAllister,Consumer,Office Supplies,Binders,VariCap6 Expandable Binder,2016,9,September,3,Sunday,37,5,37.467532467532465,4.62
72,CA-2017-114440,OFF-PA-10004675,19.05,3,0.0,8.763,TB-21520,2017-09-14,2017-09-17,Second Class,United States,Jackson,Michigan,49201,Central,Tracy Blumstein,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",2017,9,September,3,Thursday,37,3,46.0,6.3500000000000005
73,US-2015-134026,FUR-CH-10000513,831.94,8,0.2,-114.3912,JE-15745,2015-04-26,2015-05-02,Standard Class,United States,Memphis,Tennessee,38109,South,Joel Eaton,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,2015,4,April,2,Sunday,17,6,-13.74993388946318,103.9925
74,US-2015-134026,FUR-FU-10003708,97.04,2,0.2,1.213,JE-15745,2015-04-26,2015-05-02,Standard Class,United States,Memphis,Tennessee,38109,South,Joel Eaton,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",2015,4,April,2,Sunday,17,6,1.25,48.52
75,US-2015-134026,OFF-ST-10004123,72.78,1,0.2,-18.196,JE-15745,2015-04-26,2015-05-02,Standard Class,United States,Memphis,Tennessee,38109,South,Joel Eaton,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,2015,4,April,2,Sunday,17,6,-25.00137400384721,72.78
76,US-2017-118038,OFF-BI-10004182,1.25,3,0.8,-1.9344,KB-16600,2017-12-09,2017-12-11,First Class,United States,Houston,Texas,77041,Central,Ken Brennan,Corporate,Office Supplies,Binders,Economy Binders,2017,12,December,4,Saturday,49,2,-154.752,0.4166666666666667
77,US-2017-118038,FUR-FU-10000260,9.71,3,0.6,-5.8248,KB-16600,2017-12-09,2017-12-11,First Class,United States,Houston,Texas,77041,Central,Ken Brennan,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",2017,12,December,4,Saturday,49,2,-59.98764160659113,3.236666666666667
78,US-2017-118038,OFF-ST-10000615,27.24,3,0.2,2.724,KB-16600,2017-12-09,2017-12-11,First Class,United States,Houston,Texas,77041,Central,Ken Brennan,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2017,12,December,4,Saturday,49,2,10.000000000000002,9.08
79,US-2014-147606,FUR-FU-10003194,19.3,5,0.6,-14.475,JE-15745,2014-11-26,2014-12-01,Second Class,United States,Houston,Texas,77070,Central,Joel Eaton,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2014,11,November,4,Wednesday,48,5,-75.0,3.8600000000000003
80,CA-2016-127208,OFF-AP-10002118,208.16,1,0.0,56.2032,SC-20770,2016-06-12,2016-06-15,First Class,United States,Decatur,Alabama,35601,South,Stewart Carmichael,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2016,6,June,2,Sunday,23,3,27.0,208.16
81,CA-2016-127208,OFF-BI-10002309,16.74,3,0.0,8.0352,SC-20770,2016-06-12,2016-06-15,First Class,United States,Decatur,Alabama,35601,South,Stewart Carmichael,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,2016,6,June,2,Sunday,23,3,48.00000000000001,5.579999999999999
82,CA-2014-139451,OFF-AR-10002053,14.9,5,0.0,4.172,DN-13690,2014-10-12,2014-10-16,Standard Class,United States,San Francisco,California,94122,West,Duane Noonan,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",2014,10,October,4,Sunday,41,4,27.999999999999996,2.98
83,CA-2014-139451,OFF-ST-10002370,21.39,1,0.0,6.2031,DN-13690,2014-10-12,2014-10-16,Standard Class,United States,San Francisco,California,94122,West,Duane Noonan,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",2014,10,October,4,Sunday,41,4,28.999999999999996,21.39
84,CA-2015-149734,OFF-EN-10000927,200.98,7,0.2,62.8075,JC-16105,2015-09-03,2015-09-08,Standard Class,United States,Durham,North Carolina,27707,South,Julie Creighton,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,2015,9,September,3,Thursday,36,5,31.25062195243308,28.71142857142857
85,US-2017-119662,OFF-ST-10003656,230.38,3,0.2,-48.9549,CS-12400,2017-11-13,2017-11-16,First Class,United States,Chicago,Illinois,60623,Central,Christopher Schild,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,2017,11,November,4,Monday,46,3,-21.249631044361493,76.79333333333334
86,CA-2017-140088,FUR-CH-10000863,301.96,2,0.0,33.2156,PO-18865,2017-05-28,2017-05-30,Second Class,United States,Columbia,South Carolina,29203,South,Patrick O'Donnell,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,2017,5,May,2,Sunday,21,2,11.000000000000002,150.98
